"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_112";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"4331"
"Y17W25";"Y17M06";"LOAN2017_113";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-25";"1578"
"Y17W25";"Y17M06";"LOAN2017_112";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-23";"4806"
"Y17W25";"Y17M06";"LOAN2017_112";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"4797"
"Y17W25";"Y17M06";"LOAN2017_113";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-25";"3432"
"Y17W25";"Y17M06";"LOAN2017_112";"AXA";"Formule Optimum";"CLASSIQUE";"2017-06-23";"11590"
"Y17W25";"Y17M06";"LOAN2017_116";"ALPTIS";"Formule Optimum";"RESIDUAL";"2017-06-25";"21399"
"Y17W25";"Y17M06";"LOAN2017_113";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-25";"2742"
"Y17W25";"Y17M06";"LOAN2017_113";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-25";"2562"
"Y17W25";"Y17M06";"LOAN2017_113";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-25";"6382"
"Y17W25";"Y17M06";"LOAN2017_113";"SIMPL'ASSUR";"Minimum";"CLASSIQUE";"2017-06-25";"2074"
"Y17W25";"Y17M06";"LOAN2017_114";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-25";"2987"
"Y17W25";"Y17M06";"LOAN2017_113";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"5408"
"Y17W25";"Y17M06";"LOAN2017_113";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"5258"
"Y17W25";"Y17M06";"LOAN2017_113";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-25";"4844"
"Y17W25";"Y17M06";"LOAN2017_114";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-25";"1181"
"Y17W25";"Y17M06";"LOAN2017_115";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"6716"
"Y17W25";"Y17M06";"LOAN2017_113";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-25";"3161"
"Y17W25";"Y17M06";"LOAN2017_115";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"12211"
"Y17W25";"Y17M06";"LOAN2017_113";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-25";"4399"
"Y17W25";"Y17M06";"LOAN2017_113";"SIMPL'ASSUR";"Formule Optimum";"CLASSIQUE";"2017-06-25";"3196"
"Y17W25";"Y17M06";"LOAN2017_114";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"3922"
"Y17W25";"Y17M06";"LOAN2017_116";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-25";"8618"
